Transaction_id,User_id,Product_id,Product_name,Category,Price,Quantity,Discount,Payment_Method,Transaction_Time,Delivery_Status,Location,Device_Type,Customer_Feedback
T1000,U428,P6605,Vacuum Cleaner,Home,473.83,5,112.64,Cash on Delivery,08-05-2025 11:56,In Transit,"Loweland, New York, Tokelau",Mobile,Excellent
T1001,U447,P8646,Non-fiction Book,Books,175.48,4,32.39,Net Banking,03-05-2025 02:12,Returned,"Lake Sandraborough, Alaska, Mongolia",Desktop,No Feedback
T1002,U446,P2785,Laptop,Electronics,206.16,4,18.91,UPI,11-04-2025 02:09,Returned,"Owentown, Arizona, Russian Federation",Mobile,Excellent
T1003,U862,P6025,Vacuum Cleaner,Home,155.42,5,39.14,Credit Card,25-04-2025 06:22,Cancelled,"Austinport, North Carolina, Jordan",Mobile,No Feedback
T1004,U314,P5253,Vacuum Cleaner,Home,422.67,2,29.57,Net Banking,13-04-2025 22:31,Returned,"Walkermouth, North Carolina, Kyrgyz Republic",Mobile,Poor
T1005,U416,P4811,Magazine,Books,111.98,4,16.22,Debit Card,14-04-2025 14:42,Cancelled,"South Jesus, Ohio, Venezuela",Mobile,Good
T1006,U893,P7405,Vacuum Cleaner,Home,359.41,1,38.15,UPI,14-04-2025 08:35,Delivered,"East Amanda, New Hampshire, Tokelau",Desktop,Excellent
T1007,U269,P2289,Smartphone,Electronics,155.35,3,14.84,UPI,14-04-2025 23:08,Returned,"Millertown, Arizona, Azerbaijan",Mobile,Good
T1008,U914,P7091,Laptop,Electronics,140.04,1,29.09,UPI,15-04-2025 18:45,Returned,"South Allisonland, Virginia, Antarctica (the territory South of 60 deg S)",Desktop,Good
T1009,U427,P2368,Jacket,Fashion,121.29,5,15.27,Cash on Delivery,08-05-2025 15:15,Returned,"Port Lori, Pennsylvania, Armenia",Mobile,Good
T1010,U957,P2938,Non-fiction Book,Books,43.42,1,11.9,Net Banking,16-04-2025 05:17,Cancelled,"Bennetttown, Michigan, Macao",Desktop,No Feedback
T1011,U108,P6976,Headphones,Electronics,336.62,3,2.83,Net Banking,11-04-2025 22:08,Delivered,"South Lorifurt, New Jersey, Saint Pierre and Miquelon",Mobile,Poor
T1012,U941,P7198,Magazine,Books,428.04,2,116.85,Debit Card,13-04-2025 09:10,Returned,"East Katie, Maryland, Croatia",Mobile,Poor
T1013,U672,P8805,Toaster,Home,88.39,3,17.67,Cash on Delivery,23-04-2025 20:41,In Transit,"Jessicafurt, North Carolina, Georgia",Mobile,Good
T1014,U208,P9229,Table Lamp,Home,110.11,2,29.59,UPI,19-04-2025 13:47,Delivered,"West Davidberg, Wyoming, Montenegro",Mobile,Good
T1015,U679,P4977,Toaster,Home,259.91,2,40.5,Credit Card,16-04-2025 13:12,In Transit,"Johnbury, Kentucky, Saint Vincent and the Grenadines",Desktop,Excellent
T1016,U595,P2885,Jacket,Fashion,16.82,4,3.64,Net Banking,11-04-2025 05:28,Cancelled,"Griffinmouth, South Dakota, India",Mobile,Poor
T1017,U941,P2050,Smartwatch,Electronics,218.99,3,37.99,Cash on Delivery,23-04-2025 16:51,Delivered,"Lake Rodney, West Virginia, Saint Martin",Mobile,Poor
T1018,U300,P2265,Comics,Books,242.77,4,0.01,Debit Card,04-05-2025 08:49,Returned,"West Lawrence, Illinois, Malaysia",Desktop,Poor
T1019,U407,P3324,Non-fiction Book,Books,214.09,5,5.57,Debit Card,07-05-2025 17:59,In Transit,"Rodriguezhaven, Colorado, Costa Rica",Desktop,Average
T1020,U291,P2375,Jacket,Fashion,268.7,2,75.95,UPI,18-04-2025 05:58,Cancelled,"North Sharon, Wisconsin, Macao",Desktop,Good
T1021,U942,P9155,Laptop,Electronics,353.45,2,7.82,Cash on Delivery,02-05-2025 08:30,Delivered,"New Rebeccaville, Colorado, Cyprus",Desktop,No Feedback
T1022,U935,P3317,Toaster,Home,150.75,3,28.13,Debit Card,15-04-2025 11:15,Delivered,"North Jessica, Nebraska, Sierra Leone",Mobile,Poor
T1023,U929,P2773,Vacuum Cleaner,Home,303.9,2,23.83,Debit Card,10-04-2025 08:06,Cancelled,"East Robertstad, Utah, Western Sahara",Mobile,No Feedback
T1024,U768,P6570,Jacket,Fashion,229.99,5,5.71,Net Banking,08-05-2025 12:04,In Transit,"Jillianstad, Delaware, Ethiopia",Mobile,Poor
T1025,U831,P2114,Headphones,Electronics,183.35,4,14.54,Net Banking,08-05-2025 04:26,Cancelled,"Lake Deanna, Hawaii, Pakistan",Mobile,No Feedback
T1026,U689,P4926,Shoes,Fashion,200.82,4,9.44,Net Banking,08-05-2025 03:10,In Transit,"South Jenniferburgh, North Carolina, Monaco",Desktop,No Feedback
T1027,U179,P6525,Toaster,Home,81.69,2,2.11,Debit Card,18-04-2025 11:40,Cancelled,"South Lucasville, Virginia, Serbia",Mobile,Poor
T1028,U838,P7076,Shoes,Fashion,134.58,2,7.26,Debit Card,21-04-2025 11:35,Returned,"Benjaminmouth, Wisconsin, Seychelles",Desktop,Average
T1029,U803,P1909,Vacuum Cleaner,Home,476.9,3,64.88,Cash on Delivery,24-04-2025 16:51,Cancelled,"West David, Michigan, Palestinian Territory",Desktop,Poor
T1030,U190,P9403,Table Lamp,Home,158.85,1,44.48,UPI,30-04-2025 22:49,Cancelled,"Port Jeffreyview, New Hampshire, French Guiana",Mobile,No Feedback
T1031,U373,P6916,Table Lamp,Home,449.17,1,120.42,Debit Card,25-04-2025 14:51,Cancelled,"Christineport, Nebraska, Cuba",Desktop,Poor
T1032,U237,P4696,Table Lamp,Home,400.48,5,117.14,Net Banking,30-04-2025 08:14,Delivered,"Port Cynthia, North Carolina, Sudan",Mobile,Poor
T1033,U579,P5218,Jacket,Fashion,122.48,1,3.73,Credit Card,18-04-2025 23:55,Delivered,"South Shaneberg, Nebraska, New Caledonia",Mobile,Average
T1034,U683,P5191,Table Lamp,Home,450.72,5,32.24,Credit Card,02-05-2025 13:51,Returned,"South Jodi, Virginia, Croatia",Desktop,Excellent
T1035,U884,P6788,Table Lamp,Home,140.91,5,9.65,Credit Card,18-04-2025 15:37,Returned,"East Logan, Kentucky, Uganda",Desktop,Excellent
T1036,U203,P6592,Smartwatch,Electronics,172.73,5,45.94,Cash on Delivery,01-05-2025 05:01,Delivered,"North Danielbury, Nevada, Turkey",Mobile,Poor
T1037,U509,P2390,Vacuum Cleaner,Home,11.2,2,2.9,Net Banking,01-05-2025 04:29,Cancelled,"Hendersonberg, Minnesota, Bangladesh",Mobile,Average
T1038,U891,P5690,T-Shirt,Fashion,185.69,1,42.49,Debit Card,05-05-2025 08:30,Cancelled,"Kathleenbury, Maine, Belize",Mobile,Poor
T1039,U162,P1317,Magazine,Books,113.16,5,23.3,Cash on Delivery,22-04-2025 08:04,Returned,"Charlesstad, Mississippi, Cambodia",Mobile,No Feedback
T1040,U183,P9852,Headphones,Electronics,260,5,32.86,UPI,13-04-2025 15:29,Cancelled,"South Annette, Illinois, Kenya",Mobile,No Feedback
T1041,U156,P9953,Table Lamp,Home,63.29,1,3.34,Credit Card,20-04-2025 07:21,Delivered,"Davidburgh, Oklahoma, Mexico",Desktop,Poor
T1042,U778,P8132,Magazine,Books,274.51,1,43.45,Credit Card,16-04-2025 12:55,Delivered,"Port Danny, Oklahoma, Uruguay",Desktop,Excellent
T1043,U342,P2009,Laptop,Electronics,447.75,3,9.98,Net Banking,15-04-2025 06:55,Delivered,"Port Margaret, Arizona, Morocco",Mobile,Good
T1044,U964,P4295,Headphones,Electronics,169.43,3,36.53,Net Banking,26-04-2025 05:07,Cancelled,"Campbellborough, Wyoming, Nicaragua",Mobile,Average
T1045,U755,P6431,Non-fiction Book,Books,83.34,2,5.2,Debit Card,08-05-2025 23:42,In Transit,"New Ginaview, Arkansas, Ethiopia",Desktop,Excellent
T1046,U459,P6364,Smartwatch,Electronics,208.69,5,34.69,UPI,27-04-2025 01:58,In Transit,"Russellport, Iowa, Nicaragua",Mobile,No Feedback
T1047,U877,P9084,Mixer,Home,70.21,4,10.31,Cash on Delivery,30-04-2025 04:27,Delivered,"North John, Minnesota, Egypt",Desktop,Good
T1048,U851,P6646,Vacuum Cleaner,Home,405.67,4,51.97,UPI,04-05-2025 20:16,Cancelled,"Christopherstad, California, Italy",Desktop,Poor
T1049,U471,P8128,Laptop,Electronics,151.77,1,29.09,UPI,08-05-2025 16:54,In Transit,"Richardbury, Montana, Italy",Mobile,Good
T1050,U876,P9183,Smartwatch,Electronics,145.41,5,11.1,Debit Card,26-04-2025 06:00,Delivered,"Mcdanielfurt, Hawaii, Cayman Islands",Desktop,Excellent
T1051,U997,P6969,T-Shirt,Fashion,293.96,5,66.51,Cash on Delivery,08-05-2025 06:36,Delivered,"Suzanneland, Missouri, Somalia",Mobile,Average
T1052,U166,P4680,Vacuum Cleaner,Home,301.06,3,10.39,UPI,19-04-2025 03:54,Delivered,"Burnshaven, Delaware, Thailand",Desktop,Good
T1053,U221,P2897,Smartphone,Electronics,211.71,1,47,Credit Card,23-04-2025 23:12,Delivered,"Catherinechester, Michigan, Seychelles",Desktop,Excellent
T1054,U849,P1882,Smartphone,Electronics,435.83,1,39.97,Cash on Delivery,30-04-2025 04:12,Delivered,"Wardmouth, Idaho, United Kingdom",Desktop,Good
T1055,U301,P4329,Jacket,Fashion,69.57,1,7.5,Cash on Delivery,30-04-2025 17:12,Delivered,"Port Jenniferberg, Florida, Cocos (Keeling) Islands",Mobile,Average
T1056,U826,P7153,Shoes,Fashion,172.7,2,15.6,Net Banking,28-04-2025 13:38,Cancelled,"East David, Arizona, Burkina Faso",Mobile,Poor
T1057,U441,P9757,Jeans,Fashion,220.19,2,11.96,Credit Card,09-05-2025 18:15,In Transit,"Lake Angela, Georgia, Chad",Mobile,Excellent
T1058,U925,P1496,Smartphone,Electronics,484.09,1,117.99,UPI,05-05-2025 06:28,Delivered,"Burnettfort, Rhode Island, Myanmar",Desktop,Average
T1059,U539,P8104,Shoes,Fashion,171.52,1,0.98,Debit Card,19-04-2025 01:44,Returned,"Richardsonside, Virginia, Slovenia",Mobile,Good
T1060,U592,P3266,Smartphone,Electronics,111.84,5,6.09,Cash on Delivery,14-04-2025 07:53,Returned,"Lynchmouth, Ohio, Australia",Desktop,Average
T1061,U830,P3226,Jeans,Fashion,491.37,5,129.63,Cash on Delivery,15-04-2025 16:15,Delivered,"New Christopherberg, Oregon, Cameroon",Mobile,Excellent
T1062,U332,P4857,Magazine,Books,416.37,2,32.9,UPI,28-04-2025 16:02,Delivered,"Georgeborough, Ohio, Cocos (Keeling) Islands",Mobile,Excellent
T1063,U672,P2984,Headphones,Electronics,187.8,2,16.74,Debit Card,02-05-2025 17:35,Returned,"Lake Rebeccamouth, Ohio, Andorra",Desktop,Poor
T1064,U898,P6168,Table Lamp,Home,72.74,1,7.51,UPI,06-05-2025 00:10,In Transit,"Watersberg, Wyoming, Timor-Leste",Mobile,Poor
T1065,U760,P8646,Comics,Books,306.73,4,29.29,Net Banking,27-04-2025 22:28,Returned,"New Lauren, Maryland, Palau",Mobile,Poor
T1066,U833,P1706,Table Lamp,Home,427.05,5,78.99,UPI,01-05-2025 13:19,In Transit,"Cookchester, Alabama, Bulgaria",Mobile,Good
T1067,U505,P6480,Magazine,Books,128.58,2,37.5,Net Banking,27-04-2025 08:56,Delivered,"Amyside, North Dakota, Christmas Island",Mobile,No Feedback
T1068,U826,P6449,Fiction Book,Books,18.52,1,4.23,Credit Card,15-04-2025 01:03,In Transit,"South Jessica, Arizona, Tanzania",Desktop,Good
T1069,U301,P2723,Mixer,Home,482.19,4,90.97,Cash on Delivery,10-05-2025 03:33,In Transit,"East Brian, Michigan, Pitcairn Islands",Desktop,Excellent
T1070,U601,P2163,Vacuum Cleaner,Home,413.1,5,48.57,UPI,04-05-2025 02:47,In Transit,"New Carlos, Connecticut, Indonesia",Mobile,Good
T1071,U984,P3129,Jacket,Fashion,362.71,1,74.39,Cash on Delivery,30-04-2025 16:58,In Transit,"Port Laurieview, Minnesota, Micronesia",Desktop,Average
T1072,U292,P1442,Vacuum Cleaner,Home,332.05,1,48.01,Credit Card,29-04-2025 02:38,Delivered,"Williamshire, Iowa, Ethiopia",Desktop,Poor
T1073,U621,P9280,Fiction Book,Books,134.46,3,10.58,Net Banking,13-04-2025 13:30,Cancelled,"North Timothy, Illinois, Lao People's Democratic Republic",Mobile,Excellent
T1074,U122,P9339,Headphones,Electronics,181.17,2,26.73,Net Banking,30-04-2025 01:11,In Transit,"East Michael, Arizona, Belize",Mobile,Good
T1075,U170,P6699,Jacket,Fashion,65.96,3,18.25,Credit Card,19-04-2025 13:19,Returned,"Lake Amandatown, Wyoming, Syrian Arab Republic",Desktop,Excellent
T1076,U503,P5208,Smartphone,Electronics,479.27,3,89.55,Debit Card,29-04-2025 17:43,Cancelled,"New Ericchester, Iowa, Cook Islands",Mobile,Average
T1077,U367,P3702,Toaster,Home,457.25,2,3.34,Debit Card,05-05-2025 10:43,Returned,"Jenniferland, Indiana, Uzbekistan",Mobile,Good
T1078,U612,P5945,Headphones,Electronics,456.75,3,115.49,Debit Card,11-04-2025 21:59,Delivered,"Martintown, Nebraska, Cameroon",Desktop,No Feedback
T1079,U455,P7069,Fiction Book,Books,149.21,4,6.49,Credit Card,06-05-2025 07:11,Returned,"Josephside, Wyoming, Sierra Leone",Mobile,Good
T1080,U766,P1728,Jacket,Fashion,312.8,4,12.58,Net Banking,29-04-2025 09:59,In Transit,"Elizabethbury, Georgia, Reunion",Desktop,Excellent
T1081,U207,P2783,Jacket,Fashion,134.63,1,6.57,UPI,06-05-2025 02:24,Returned,"West Kimhaven, Indiana, Mali",Desktop,Poor
T1082,U797,P3493,Jeans,Fashion,361.41,2,45.9,UPI,07-05-2025 08:32,Returned,"Greeneshire, Oklahoma, Azerbaijan",Mobile,Poor
T1083,U492,P5197,Jacket,Fashion,385.67,3,30.68,Debit Card,19-04-2025 08:52,Cancelled,"South Stevenchester, Kentucky, Gambia",Desktop,No Feedback
T1084,U255,P2112,Jacket,Fashion,376.74,2,78.26,Debit Card,17-04-2025 14:50,Returned,"West Kristinbury, Washington, Saint Pierre and Miquelon",Desktop,Good
T1085,U805,P1485,Smartphone,Electronics,145.61,5,10.22,Net Banking,17-04-2025 14:31,Returned,"Ryanville, Idaho, Madagascar",Desktop,Poor
T1086,U830,P3654,Smartphone,Electronics,383.15,1,13.27,Cash on Delivery,16-04-2025 22:56,Returned,"Evansside, Texas, French Southern Territories",Mobile,Average
T1087,U741,P1658,Comics,Books,226.81,4,13.83,Cash on Delivery,18-04-2025 06:38,Cancelled,"Port Scottchester, Washington, Pakistan",Mobile,Good
T1088,U687,P3483,Jacket,Fashion,496.96,1,11.36,Net Banking,29-04-2025 12:10,Cancelled,"Christopherborough, Colorado, Jamaica",Mobile,Excellent
T1089,U259,P1368,Headphones,Electronics,40.63,1,2.08,UPI,03-05-2025 05:02,In Transit,"Jeffreyfort, Michigan, Australia",Mobile,Good
T1090,U563,P9204,Magazine,Books,144.12,2,13.55,Cash on Delivery,05-05-2025 19:35,Delivered,"West Nicholasshire, Utah, Timor-Leste",Mobile,No Feedback
T1091,U432,P4060,Headphones,Electronics,302.53,3,65.27,Credit Card,16-04-2025 11:17,Delivered,"New Melissaside, Vermont, Falkland Islands (Malvinas)",Desktop,Excellent
T1092,U639,P3983,Smartwatch,Electronics,69.89,2,6.31,Debit Card,14-04-2025 16:26,Returned,"Johnmouth, Maine, Uruguay",Mobile,Poor
T1093,U460,P7686,Table Lamp,Home,145.89,2,40.62,Cash on Delivery,02-05-2025 19:58,Returned,"South Tommy, Mississippi, Belgium",Desktop,Good
T1094,U681,P6777,Laptop,Electronics,496.31,5,28.63,Credit Card,30-04-2025 09:38,Cancelled,"Mcleanshire, Arizona, Tajikistan",Desktop,No Feedback
T1095,U474,P4955,Magazine,Books,127.44,5,18.97,Debit Card,01-05-2025 04:02,Delivered,"Lake Samantha, Michigan, Sudan",Mobile,Average
T1096,U249,P8828,Smartphone,Electronics,231.59,3,0.27,Credit Card,30-04-2025 03:39,Cancelled,"West Katherinefort, Pennsylvania, Korea",Mobile,Average
T1097,U563,P2233,Non-fiction Book,Books,282.19,1,30.61,Credit Card,12-04-2025 01:57,Delivered,"East Maryton, Washington, Wallis and Futuna",Desktop,Excellent
T1098,U932,P1219,Non-fiction Book,Books,189.49,5,45.91,Credit Card,12-04-2025 04:41,Cancelled,"Ashleyburgh, Indiana, Mayotte",Desktop,Poor
T1099,U753,P6379,Smartwatch,Electronics,261.99,2,37.43,Debit Card,13-04-2025 08:23,In Transit,"East Peter, Texas, New Zealand",Desktop,Poor
